서비스ID,서비스명,소관부처명,서비스요약,기준연도,문의처,지원주기,제공유형,생애주기,관심주제,가구유형,대상자상세내용,선정기준내용,급여서비스내용,처리절차,신청방법,필요서류,문의처목록,홈페이지목록,근거법령목록
WLF00006274,햇살론일반,금융위원회 서민금융과,제도권 금융기관 이용이 러여누 저신용·저소득자의 생계지를 지원하여 서민증의 경제적 자립·자활을 도모합니다.,2026,1397,1회성,현금대여(융자),"중장년, 노년, 청년",서민금융,저소득,"소득증빙이 가능하며 연소득 3천5백만원 이거나, 또는 개인신용평점 하위 20%이하이면서 연소득 4천5백만원 이하인 자를 대상으로 지원합니다. * '26년 4월부터 KCB 700점 또는 NICE 749점 이하
개인회생, 개인워크아웃, 새출발기금, 서금원 자체 채무조정 성실상환자의 경우 6개월 이상 성실 상환 시 공공정보 등재 시에도 신청가능",지원대상의 내용을 참고해주시기 바랍니다.,"보증한도 : 최대 1,500만원
금리 : 연 10% 이내(보증료 포함), 금융회사별 상이
보증료 : 2.5%이내
대출기간 : 5년이내, 1년 단위로 신청 가능(원리금 균등분할 상환, 중도상환 수수료 없음)","1. 거주지 읍/면/동 주민센터, IBK기업은행,경남은행,광주은행,국민은행,농협은행,부산은행,신한은행,수협은행,아이엠뱅크,우리은행,전북은행,제주은행,케이뱅크,토스뱅크,하나은행, 상호금융(농협, 수협, 신협, 새마을금고, 산립조합), 저축은행, 캐피탈(롯데), 보험(삼성생명)에서 ‘서비스 신청’
2. 담당 시/군/구청 또는 IBK기업은행,경남은행,광주은행,국민은행,농협은행,부산은행,신한은행,수협은행,아이엠뱅크,우리은행,전북은행,제주은행,케이뱅크,토스뱅크,하나은행, 상호금융(농협, 수협, 신협, 새마을금고, 산립조합), 저축은행, 캐피탈(롯데), 보험(삼성생명)에서 조사 및 심사
3. 담당 시/군/구청 또는 IBK기업은행,경남은행,광주은행,국민은행,농협은행,부산은행,신한은행,수협은행,아이엠뱅크,우리은행,전북은행,제주은행,케이뱅크,토스뱅크,하나은행, 상호금융(농협, 수협, 신협, 새마을금고, 산립조합), 저축은행, 캐피탈(롯데), 보험(삼성생명)에서 보장 결정
4. 담당 시/군/구청 또는 IBK기업은행,경남은행,광주은행,국민은행,농협은행,부산은행,신한은행,수협은행,아이엠뱅크,우리은행,전북은행,제주은행,케이뱅크,토스뱅크,하나은행, 상호금융(농협, 수협, 신협, 새마을금고, 산립조합), 저축은행, 캐피탈(롯데), 보험(삼성생명)에서 대상자에게 서비스 제공
5. 담당 시/군/구청 또는 IBK기업은행,경남은행,광주은행,국민은행,농협은행,부산은행,신한은행,수협은행,아이엠뱅크,우리은행,전북은행,제주은행,케이뱅크,토스뱅크,하나은행, 상호금융(농협, 수협, 신협, 새마을금고, 산립조합), 저축은행, 캐피탈(롯데), 보험(삼성생명)에서 서비스 제공 이후 대상자의 상황 관리",,"[추가 구비서류] 한부모가족 ·조손가족 : 한부모가족증명서 다문화가족 가족관계증명서 : 등다문화가족 확인서류 북한이탈주민 : 북한이탈주민등록확인서 등록장애인 : 장애인등록증, 또는 장애인증명서 국민기초생활수급자 : 국민기초생활수급자 증명서 차상위계층 : 차상위계층 확인서, 차상위 본인부담 경감대상자 증명서 등 근로장려금수급자 : 근로장려금수급사실 증명 또는근로장려금 결정 통지서 자활근로자 : 자활근로자 확인서""[추가 구비서류] 한부모가족 ·조손가족 : 한부모가족증명서 다문화가족 가족관계증명서 : 등다문화가족 확인서류 북한이탈주민 : 북한이탈주민등록확인서 등록장애인 : 장애인등록증, 또는 장애인증명서 국민기초생활수급자 : 국민기초생활수급자 증명서 차상위계층 : 차상위계층 확인서, 차상위 본인부담 경감대상자 증명서 등 근로장려금수급자 : 근로장려금수급사실 증명 또는근로장려금 결정 통지서 자활근로자 : 자활근로자 확인서",서민금융진흥원: 1397,서민금융진흥원: https://www.kinfa.or.kr,서민의 금융생활 지원에 관한 법률
WLF00006273,햇살론특례,금융위원회 서민금융과,소득 증빙이 어렵거나 신용등급이 상대적으로 낮아 햇살론 일반보증을 이용하기 어려운 최저신용자를 제도권 금융으로 지원합니다.,2026,1397,1회성,현금대여(융자),"청년, 노년, 중장년",서민금융,저소득,"개인신용평점 하위 20%이하이면서 연소득 35백만원 이하인 자를 대상으로 지원합니다.
개인회생, 개인워크아웃, 새출발기금, 서금원 자체 채무조정 성실상환자의 경우 6개월 이상 성실 상환 시 공공정보 등재 시에도 신청가능",지원대상의 내용을 참고해주시기 바랍니다.,"보증한도 : 최대 1,000만원
금리 : 연 12.5% 이내(보증료 포함), 사회적 배려대상자 : 9.9% 이내
대출기간 : 3년 또는 5년(원리금 균등분할 상환, 중도상환 수수료 없음)","1. 거주지 읍/면/동 주민센터, IBK기업은행,경남은행,광주은행,국민은행,농협은행,부산은행,신한은행,수협은행,아이엠뱅크,우리은행,전북은행,제주은행,케이뱅크,토스뱅크,하나은행, 상호금융(농협, 수협, 신협, 산립조합), 저축은행에서 ‘서비스 신청’
2. 담당 시/군/구청 또는 IBK기업은행,경남은행,광주은행,국민은행,농협은행,부산은행,신한은행,수협은행,아이엠뱅크,우리은행,전북은행,제주은행,케이뱅크,토스뱅크,하나은행, 상호금융(농협, 수협, 신협, 산립조합), 저축은행에서 조사 및 심사
3. 담당 시/군/구청 또는 IBK기업은행,경남은행,광주은행,국민은행,농협은행,부산은행,신한은행,수협은행,아이엠뱅크,우리은행,전북은행,제주은행,케이뱅크,토스뱅크,하나은행, 상호금융(농협, 수협, 신협, 산립조합), 저축은행에서 보장 결정
4. 담당 시/군/구청 또는 IBK기업은행,경남은행,광주은행,국민은행,농협은행,부산은행,신한은행,수협은행,아이엠뱅크,우리은행,전북은행,제주은행,케이뱅크,토스뱅크,하나은행, 상호금융(농협, 수협, 신협, 산립조합), 저축은행에서 대상자에게 서비스 제공
5. 담당 시/군/구청 또는 IBK기업은행,경남은행,광주은행,국민은행,농협은행,부산은행,신한은행,수협은행,아이엠뱅크,우리은행,전북은행,제주은행,케이뱅크,토스뱅크,하나은행, 상호금융(농협, 수협, 신협, 산립조합), 저축은행에서 서비스 제공 이후 대상자의 상황 관리",,"[추가 구비서류] 한부모가족 ·조손가족 : 한부모가족증명서 다문화가족 가족관계증명서 : 등다문화가족 확인서류 북한이탈주민 : 북한이탈주민등록확인서 등록장애인 : 장애인등록증, 또는 장애인증명서 국민기초생활수급자 : 국민기초생활수급자 증명서 차상위계층 : 차상위계층 확인서, 차상위 본인부담 경감대상자 증명서 등 근로장려금수급자 : 근로장려금수급사실 증명 또는근로장려금 결정 통지서 자활근로자 : 자활근로자 확인서""[추가 구비서류] 한부모가족 ·조손가족 : 한부모가족증명서 다문화가족 가족관계증명서 : 등다문화가족 확인서류 북한이탈주민 : 북한이탈주민등록확인서 등록장애인 : 장애인등록증, 또는 장애인증명서 국민기초생활수급자 : 국민기초생활수급자 증명서 차상위계층 : 차상위계층 확인서, 차상위 본인부담 경감대상자 증명서 등 근로장려금수급자 : 근로장려금수급사실 증명 또는근로장려금 결정 통지서 자활근로자 : 자활근로자 확인서",서민금융진흥원: 1397,서민금융진흥원: https://www.kinfa.or.kr,서민의 금융생활 지원에 관한 법률
WLF00006268,불법사금융예방대출,금융위원회 서민금융과,불법사금융에 노출되기 쉬운 저신용·저소득 금융취약계층의 대출수요를 정책서민금융으로 흡수하기 위해 소액의 생계비를 긴급하게 지원합니다.,2026,1397,1회성,현금대여(융자),"중장년, 노년, 청년",서민금융,저소득,"신용평점 하위 20%이면서 연소득 3,500만원 이하인 자 ※ 불법사금융예방대출 전용 금융교육 이수 또는 보건복지부 복지멤버십 가입 필수
지원제외대상 - 한국신용정보원에 체납정보, 금융질서문란정보가 등재된 자",지원대상의 내용을 참고해주시기 바랍니다.,"1인당 최대 1백만원 한도 내 지원
 - 연체자의 경우 기본 50만원 + 추가 50만원(6회차 이상 성실상환 시) ※ 연체자는 특정용도(의료주거교육비) 증빙 시 최대 100만원 內 대출 가능","1. 거주지 읍/면/동 주민센터, 서민금융진흥원에서 ‘서비스 신청’
2. 담당 시/군/구청 또는 서민금융진흥원에서 조사 및 심사
3. 담당 시/군/구청 또는 서민금융진흥원에서 보장 결정
4. 담당 시/군/구청 또는 서민금융진흥원에서 대상자에게 서비스 제공
5. 담당 시/군/구청 또는 서민금융진흥원에서 서비스 제공 이후 대상자의 상황 관리",,"[필수 구비서류] 신분증 필요 [추가 구비서류] 한부모가족 가구 및 조손가족 가구 : 한부모가족증명서 다문화가족 가구 : 가족관계증명서 북한이탈주민 : 북한이탈주민등록확인서 등록 장애인(해당 시 다음 중 택1) : 장애인등록증 주민센터, 장애인증명서 국민기초생활수급자 : 국민기초생활수급자 증명서 차상위계층(해당 시 다음 중 택1) : 차상위계층 확인서, 차상위본인부담경감대상자증명서 근로장려금 수급자(해당 시 다음 중 택1) : 근로장려금 수급사실 증명, 근로장려금 결정 통지서 자활근로자 : 자활근로자 확인서""[필수 구비서류] 신분증 필요 [추가 구비서류] 한부모가족 가구 및 조손가족 가구 : 한부모가족증명서 다문화가족 가구 : 가족관계증명서 북한이탈주민 : 북한이탈주민등록확인서 등록 장애인(해당 시 다음 중 택1) : 장애인등록증 주민센터, 장애인증명서 국민기초생활수급자 : 국민기초생활수급자 증명서 차상위계층(해당 시 다음 중 택1) : 차상위계층 확인서, 차상위본인부담경감대상자증명서 근로장려금 수급자(해당 시 다음 중 택1) : 근로장려금 수급사실 증명, 근로장려금 결정 통지서 자활근로자 : 자활근로자 확인서",서민금융콜센터: 1397,"서민금융진흥원: www.kinfa.or.kr
서민금융 잇다: https://loan.kinfa.or.kr",서민의 금융생활 지원에 관한 법률
WLF00006265,연탄쿠폰,산업통상자원부 석탄산업과,저소득층의 난방비 부담경감을 위해 인상에 대한 차액분을 쿠폰으로 지원합니다.,2026,1670-7653,년,프로그램/서비스(서비스),"중장년, 노년, 아동, 청소년, 청년",,"한부모·조손, 저소득, 장애인","소득이 중위소득의 50% 이하로서 부양의무자가 없거나 부양의무자가 있어도 부양받을 수 없는 가구
수급권자에 해당하지 않는 계층으로서 소득이 중위소득의 50%이하인 가구
주민등록등본상 만65세 이상인 자
｢장애인복지법｣에서 규정하는 장애인
한부모 가구 (「한부모가족지원법」 제5조)
소년소녀가정(보건복지부에서 정한 아동분야 사업 중 소년소녀가정 지원대상에   해당하는 사람(「아동복지법」 제3조에 의한 가정위탁보호 아동을 포함)","기초생활수급가구 : 「국민기초생활보장법」 제5조 제1항에서 규정하는 부양의무자가 없거나 부양의무자가 있어도 부양능력이 없는 자로서 소득인정액이 매년 보건복지부장관이 정하는 최저생계비 이하인 자
차상위계층가구
 - 차상위계층 : 「국민기초생활보장법」 제2조제11호 및 시행령 제3조의2에서 규정하는 소득인정액이 최저생계비의 120% 이하이면서 정부의 기초생활보장 수급대상에는 포함되지 못하는 자 - 한부모가족 : 「한부모가족지원법에 따라 소득인정액이 최저생계비의 130%이하인 자
소외계층가구
 - 만 65세 이상의 독거노인 - 「장애인복지법」에서 규정하는 장애인","연탄쿠폰 배부는 연 1회(472,000원, '25년기준)이며, 쿠폰가격은 연탄 가격고시에 따라 변동됩니다.","1. 담당 시/군/구청 또는 한국광해광업공단에서 대상자에게 서비스 제공
2. 거주지 읍/면/동 주민센터, 읍면동에서 ‘서비스 신청’
3. 담당 시/군/구청 또는 읍면동에서 조사 및 심사
4. 담당 시/군/구청 또는 한국광해광업공단에서 보장 결정
5. 담당 시/군/구청 또는 한국광해광업공단에서 서비스 제공 이후 대상자의 상황 관리",,[필수 구비서류] 연탄쿠폰 지원 신청서(읍면동 행정복지센터 비치),,,"에너지법
석탄산업법
석탄산업법
석탄산업법 시행령
물가안정에 관한 법률"
WLF00003211,장애인보조기기 교부,보건복지부 장애인자립기반과,생활이 어려운 저소득 장애인에게 장애인보조기구를 교부함으로써 생활능력 향상 및 복지증진을 도모합니다.,2026,129,년,현물지급,,"신체건강, 생활지원","장애인, 저소득","장애인보조기기 교부 대상자는 다음과 같습니다.

(장애종별) 「장애인복지법」에 따른 등록장애인으로서 지원품목별 장애유형에 해당되는 지체, 뇌병변, 시각, 청각, 심장, 호흡, 지적, 자폐성, 언어 장애인
(소득수준) 「국민기초생활보장법」에 따른 수급자 및 차상위 계층※ 차상위계층 : 차상위계층 확인사업, 차상위자활, 차상위본인부담, 차상위장애인(차상위 장애수당, 차상위 장애인연금 부가급여 등), 한부모 가족지원, 차상위 자산형성 지원 등
국민연금공단이 실시하는 최소적격성 검사에서 ""적격'인 자",지원대상의 내용을 참고해주시기 바랍니다.,장애인 보조기기 교부품목별 장애유형에 따라 지원기준에 적합한 보조기기 품목 지원,"1. 거주지 읍/면/동 주민센터, 읍면동 또는 복지로 웹사이트(PC/모바일앱)에서 ‘서비스 신청’
2. 담당 시/군/구청 또는 국민연금공단에서 조사 및 심사
3. 담당 시/군/구청 또는 지역보조기기센터에서 조사 및 심사
4. 담당 시/군/구청 또는 시군구에서 보장 결정
5. 담당 시/군/구청 또는 시군구에서 대상자에게 서비스 제공
6. 담당 시/군/구청 또는 지역보조기기센터에서 서비스 제공 이후 대상자의 상황 관리",,[필수 구비서류] 장애인 등록 및 서비스 신청서 [추가 구비서류] 대리 신청 시 : 위임장 및 신분증[필수 구비서류] 장애인 등록 및 서비스 신청서 [추가 구비서류] 대리 신청 시 : 위임장 및 신분증,"보건복지부 상담센터: 129
중앙보조기기센터: 1670-5529","보건복지부 상담센터: http://www.129.go.kr
중앙보조기기센터: http://knat.go.kr","장애인ㆍ노인 등을 위한 보조기기 지원 및 활용촉진에 관한 법률 시행규칙
장애인ㆍ노인 등을 위한 보조기기 지원 및 활용촉진에 관한 법률"
WLF00000076,스포츠강좌이용권,문화체육관광부 체육진흥과,저소득층 유청소년에게 지속적인 스포츠 활동 기회를 보장하여  체력향상과 건전한 여가활동을 지원합니다.,2026,1551-0078,월,전자바우처(바우처),"청소년, 영유아, 아동",문화·여가,"한부모·조손, 저소득","아래의 수급자격을 충족하는 만 518세 유․청소년을 대상으로 합니다.

「국민기초생활보장법」에 따른 생계, 의료, 주거, 교육급여 수급가구 및 차상위계층* * 차상위 장애자활본인부담경감확인서발급대상 / 법정 한부모 지원 가구
경찰청 추천 학교가정성폭력 등 범죄피해가정 유청소년","스포츠강좌이용권 누적 지원기간, 소득, 범죄피해 여부 등을 고려하여 대상자를 선정합니다.

(우선선정) 누적 이용기간 : 제한없음 / 수급자격 : 범죄피해가정(학교가정성폭력)*
(1순위) 누적 이용기간 : 신규 및 30개월 미만 / 수급자격 : 기초생활수급자(생계의료주거교육)
(2순위) 누적 이용기간 : 신규 및 30개월미만 / 수급자격 : 차상위계층, 법정 한부모가정
(3순위) 누적 이용기간 : 30개월 이상 / 수급자격 : 기초생활수급자(생계의료주거교육)
(4순위) 누적 이용기간 : 30개월 이상/ 수급자격 : 차상위층, 법정 한부모가정
* 범죄피해가구 신청자 중 지역별 배정인원 내 선정** 누적이용기간 : 스포츠강좌이용권 최근 4년간 누적 결제 횟수","월 105,000원 범위 내에서 12개월 스포츠활동 강좌비를 지급합니다. 

수강료가 105,000원 이상인 경우, 차액은 본인 부담","1. 거주지 읍/면/동 주민센터, 지방자치단체(시군구청, 주민센터, 방문), 국민체육진흥공단(인터넷)에서 ‘서비스 신청’
2. 담당 시/군/구청 또는 지방자치단체에서 조사 및 심사
3. 담당 시/군/구청 또는 지방자치단체에서 보장 결정
4. 이의가 있을 경우, 담당 시/군/구청 또는 소재지 시군구청에 이의 신청 접수
5. 담당 시/군/구청 또는 지방자치단체에서 대상자에게 서비스 제공
6. 담당 시/군/구청 또는 국민체육진흥공단에서 서비스 제공 이후 대상자의 상황 관리",,,스포츠강좌이용권 상담 및 문의(국민체육진흥공단): 1551-0078,스포츠강좌이용권 홈페이지(국민체육진흥공단): http://svoucher.kspo.or.kr,국민체육진흥법
WLF00003230,영주귀국 사할린한인 정착비 및 시설운영 지원,보건복지부 노인정책과,일제강점기 강제징용당한 사할린한인을 대상으로 영주귀국 대상자를 선정하여 귀국 및 정착생활에 필요한 비용을 지원합니다.,2026,129,월,"현금지급, 기타, 시설입소",노년,"생활지원, 주거","저소득, 장애인","영주 귀국 사할린한인 1세 및 1세의 배우자, 직계비속 1인과 그 배우자를 지원합니다.※ 2024.7.17. 개정 「사할린동포법」 시행 이후 : 사할린한인 1세, 배우자 및 자녀와 그 배우자",지원대상의 내용을 참고해 주시기 바랍니다.,"사할린동포와 그 동반가족의 영주귀국과 정착을 위해 다음을 지원합니다.

신규입국자 임대주택 비용 2인 1가구 당 1,770만원- 국토교통부(LH공사)에서 임대아파트 확보, 복지부에서 임대주택 보증금 지급
대상자 선정 후 신규 입국시 집기 비품비 140만원 지급
신규 입국시 항공료 45만원 지급
영구 및 국민임대주택 거주자에 특별생계비 매월 75,000원 지원(월 임대료 및 아파트관리비 지원)","1. 거주지 읍/면/동 주민센터, 재외공관에서 ‘서비스 신청’
2. 거주지 읍/면/동 주민센터, 대한적십자사에서 ‘서비스 신청’
3. 담당 시/군/구청 또는 대한적십자사, 사할린영사관에서 조사 및 심사
4. 담당 시/군/구청 또는 대한적십자사, 재외동포청(입국결정), 사할린한인 특별지원금(지자체(읍면동))에서 보장 결정
5. 담당 시/군/구청 또는 시군구, 사할린한인 국민임대주택 입주비용 (보건복지부)에서 대상자에게 서비스 제공
6. 담당 시/군/구청 또는 재외동포청에서 서비스 제공 이후 대상자의 상황 관리
7. 담당 시/군/구청 또는 대한적십자사에서 서비스 제공 이후 대상자의 상황 관리",,[필수 구비서류] 영주귀국 및 정착 지원 신청서[필수 구비서류] 영주귀국 및 정착 지원 신청서,"한국토지주택공사: 1600-1004
보건복지상담센터: 129","한국토지주택공사: http://www.lh.or.kr/
법무부: http://www.moj.go.kr/
대한적십자사: http://www.redcross.or.kr/
보건복지부: http://www.mohw.go.kr
보건복지상담센터: http://www.129.go.kr",사할린동포 지원에 관한 특별법
WLF00003266,직업훈련생계비대부,고용노동부 인적자원개발과,근로 취약계층이 생계비에 대한 부담없이 장기간 체계적인 훈련을 받고 더 나은 일자리로 취업할 수 있도록 지원합니다.,2026,1588-0075,수시,현금대여(융자),,"교육, 일자리",저소득,"직업훈련생계비 대부대상은 다음과 같습니다.

(비정규직 근로자) 고용보험 피보험자인 비정규직근로자
(전직 실업자)고용보험 피보험 이력이 있는 전직 실업자(실업급여 수급중인 자는 제외)
(무급휴직자) 고용보험 피보험자격을 취득한 근로자로서 휴직수당 등 금품을 받지 않고 휴직 중인 자
(자영업자인 피보험자) 자영업자 고용보험 임의가입중인 자

가구별 연간 소득금액이 기준 중위소득의 80% 이하인 사람
첨단산업 디지털 핵심 실무인재 양성훈련, 중장년내일센터 참여자는 기준 중위소득의 100% 이하, 국가기간전략산업직종훈련 참여자는 기준 중위소득의 120% 이하","고용노동부가 지원하는 훈련* 중 총 140시간 이상 직업훈련(원격훈련 제외)을 이수하여야 합니다. * 지방자치단체 설치 공공직업훈련시실에서 실시하는 취업목적의 훈련 포함
가구별 연간 소득금액이 기준 중위소득의 80% 이하이어야 합니다.*  첨단산업 디지털 핵심 실무인재 양성훈련, 중장년내일센터 참여자는 기준 중위소득의 100% 이하, 국가기간전략산업직종훈련 참여자는 기준 중위소득의 120% 이하","직업훈련생계비 대부지원 내용은 다음과 같습니다.

(대부한도) 1인당 월 최대 200만원, 총 1,000만원 이내 * 특별고용지원업종, 고용위기지역 및 특별재난지역의 경우 1인당 월 최대 200만원, 총 2천만원 이내
(상환방법) 1년 거치 3년 / 2년 거치 4년 / 3년 거치 5년 균등분할 상환 중 선택
(융자금리) 1%","1. 이의가 있을 경우, 담당 시/군/구청 또는 근로복지공단에 이의 신청 접수
2. 거주지 읍/면/동 주민센터, 근로복지공단에서 ‘서비스 신청’
3. 담당 시/군/구청 또는 근로복지공단에서 조사 및 심사
4. 담당 시/군/구청 또는 근로복지공단에서 보장 결정
5. 담당 시/군/구청 또는 근로복지공단에서 대상자에게 서비스 제공
6. 담당 시/군/구청 또는 근로복지공단에서 서비스 제공 이후 대상자의 상황 관리",,[필수 구비서류] 주민등록표등본 국세청이 발급한 전년도 소득금액증명원 [추가 구비서류] 전산을 통해 확인 불가한 경우 : 훈련기관이 발급한 수강증 비정규직 근로자 : 근로계약서 무급휴직 근로자 : 무급휴직확인서[필수 구비서류] 주민등록표등본 국세청이 발급한 전년도 소득금액증명원 [추가 구비서류] 전산을 통해 확인 불가한 경우 : 훈련기관이 발급한 수강증 비정규직 근로자 : 근로계약서 무급휴직 근로자 : 무급휴직확인서,근로복지공단: 1588-0075,"근로복지넷: welfare.comwel.or.kr
근로복지공단: www.kcomwel.or.kr/","직업훈련 생계비 대부 규정
고용보험법 시행령
고용보험법"
WLF00004637,TV수신료 면제,방송통신위원회 방송정책기획과,"기초생활수급자, 차상위계층, 장애인, 국가유공자 등의 TV수신료 요금을 감면 지원합니다.",2026,1588,월,감면,"노년, 중장년, 청소년, 청년",서민금융,"장애인, 저소득, 보훈대상자","기초생활수급자(생계급여, 의료급여수급자), 시각 및 청각 장애인, 일부 국가유공자(독립유공자, 독립유공자 선순위 유족, 국가유공자, 5.18민주화운동 부상자) 등을 대상으로 지원합니다.","1. 「국민기초생활 보장법」 제7조제1항제1호에 따른 생계급여의 수급자 또는 같은 항 제3호에 따른 의료급여의 수급자가 가지고 있는 수상기
2. 「국가유공자 등 예우 및 지원에 관한 법률」에 따라 등록된 국가유공자 중 같은 법 제4조제1항제2호제4호제6호제12호제15호 및 제17호에 따른 애국지사전상군경공상군경4.19혁명부상자공상공무원 및 국가사회발전 특별공로상이자가 가지고 있는 수상기
3. 「독립유공자예우에 관한 법률」에 따라 등록된 순국선열 및 애국지사의 유족이 가지고 있는 수상기
4. 「5ㆍ18민주유공자예우 및 단체설립에 관한 법률」에 따라 등록된 5ㆍ18민주유공자 중 같은 법 제4조제2호에 따른 5ㆍ18민주화운동부상자가 가지고 있는 수상기
5. 「장애인복지법」에 따라 등록된 시각ㆍ청각장애인이 생활하는 가정의 수상기
6. 질권이 설정되어 다른 사람이 보관 중인 수상기
7. 국가기관에 의하여 압수 또는 압류 중인 수상기
8. 영업을 목적으로 설치한 수상기 중 1개월 이상의 휴업으로 시청하지 않는 수상기
9. 영업장소의 월 전력사용량이 0킬로와트인 경우에 해당 영업장소에 설치된 수상기(월 0킬로와트인 달의 수신료에 한정한다)
10. 주거전용의 주택용 전력사용량이 월 50킬로와트 미만인 세대가 가지고 있는 수상기(월 50킬로와트 미만인 달의 수신료에 한정하며, 별장을 제외한다)
11. 공사가 행하는 텔레비전방송 중 전부 또는 일부의 시청이 불가능한 지역(이하 난시청지역이라 한다)에 거주하거나 소재하는 자가 가지고 있는 수상기
12. 그 밖에 방송미디어통신위원회가 지정하는 수상기",TV수신료 전액 면제 지원합니다.,"1. 거주지 읍/면/동 주민센터, KBS 수신료 콜센터 및 관할 사업지사에서 ‘서비스 신청’
2. 담당 시/군/구청 또는 한국방송공사에서 조사 및 심사
3. 담당 시/군/구청 또는 KBS 수신료 콜센터 및 관할 사업지사에서 보장 결정
4. 이의가 있을 경우, 담당 시/군/구청 또는 한국방송공사에 이의 신청 접수
5. 담당 시/군/구청 또는 KBS 수신료 콜센터 및 관할 사업지사에서 대상자에게 서비스 제공",,[필수 구비서류] TV 수신료 면제 대상 증빙서류 신분증 [추가 구비서류] 대리 신청 시 : 위임장 및 대리 신분증[필수 구비서류] TV 수신료 면제 대상 증빙서류 신분증 [추가 구비서류] 대리 신청 시 : 위임장 및 대리 신분증,"한국방송공사(KBS) 수신료콜센터: 1588-1801
방송통신위원회 민원상담센터: 1335",방송통신위원회 민원상담센터: http://www.kcc.go.kr,"방송법
방송법 시행령"
WLF00003207,영농도우미 지원,농림축산식품부 농촌사회서비스과,"사고, 질병 농가에 영농도우미를 지원하여 안정적인 영농활동을 통한 농가소득 증대를 도모합니다.",2026,02-2080-5424,수시,프로그램/서비스(서비스),,"생활지원, 보호·돌봄","장애인, 다문화·탈북민, 한부모·조손, 저소득","본인 또는 자녀가사고를 당했거나 질병발생 및 통원치료 등으로영농활동이 곤란한 농업경영체(법인제외)로 농지 경작면적5ha미만인 경영주 및 경영주외 농업인을 대상으로 다음 요건을 충족하여야 합니다.
2026년 기준 2016.1.1. 이후 출생한 자녀(주민등록 기준) 해당  사고 또는 질병으로 2주 이상 진단을 받았거나 3일 이상 입원한 경우
  4대 중증질환(암, 심장질환(고혈압 제외), 뇌혈관질환, 희귀난치성질환) 진단을 받은 자로 해당 질환으로 최근 6개월 이내 통원치료를 받은 경우
  제12급 법정감염병 확진자 또는 접촉한 자로 의료기관으로부터 통보를 받아 격리 중인 경우
* 법정감염병 : 「감염병의 예방 및 관리에 관한 법률」제2조 참조  안전교육이 포함된 농업인 교육과정*에 1일 이상 참여한 농업인(전체 지원인원의 5% 이내)",지원대상의 내용을 참고해주시기 바랍니다.,"사고, 질병 농가에 안정적인 영농활동을 위한 영농도우미를 지원
- 가구당 연간 10일 이내 지원 - 영농도우미 1일 인건비(84,000원)의 70%인 58,800원 국고 지원(30% 자부담)","1. 거주지 읍/면/동 주민센터, 지역농협에서 ‘서비스 신청’
2. 담당 시/군/구청 또는 농협중앙회에서 조사 및 심사
3. 담당 시/군/구청 또는 농협중앙회에서 보장 결정
4. 담당 시/군/구청 또는 농협중앙회에서 대상자에게 서비스 제공
5. 담당 시/군/구청 또는 농협중앙회 지역사회공헌부에서 서비스 제공 이후 대상자의 상황 관리",,"[필수 구비서류] 영농도우미 이용 신청서 증빙서류(진단서, 입/퇴원확인서, 의사소견서, 진료기록 및 중증질환 코드 포함된 처방서, 통원치료 혹인서, 교육 신청서 등)",농협중앙회 지역사회공헌부: 02-2080-5424,,"농어업인 삶의 질 향상 및 농어촌지역 개발촉진에 관한 특별법
농어업ㆍ농어촌 및 식품산업 기본법"
